Action,AttemptsAtTalkingBeforeRegistering,DistanceMoved,DistanceThoughtItMoved,AngleRotated,AngleThoughtItRotated,TDOAPhatWeighting1.0_2k_samples_With_Filter,TDOAPhatWeighting0.9_2k_samples_With_Filter,TDOAPhatWeighting0.8_2k_samples_With_Filter,TDOAPhatWeighting0.7_2k_samples_With_Filter,TDOAPhatWeighting0.6_2k_samples_With_Filter,TDOAPhatWeighting0.5_2k_samples_With_Filter,TDOAPhatWeighting0.4_2k_samples_With_Filter,TDOAPhatWeighting0.3_2k_samples_With_Filter,TDOAPhatWeighting0.2_2k_samples_With_Filter,TDOAPhatWeighting0.1_2k_samples_With_Filter,TDOAPhatWeighting0.0_2k_samples_With_Filter,TDOAPhatWeighting1.0_2k_samples_Without_Filter,TDOAPhatWeighting0.9_2k_samples_Without_Filter,TDOAPhatWeighting0.8_2k_samples_Without_Filter,TDOAPhatWeighting0.7_2k_samples_Without_Filter,TDOAPhatWeighting0.6_2k_samples_Without_Filter,TDOAPhatWeighting0.5_2k_samples_Without_Filter,TDOAPhatWeighting0.4_2k_samples_Without_Filter,TDOAPhatWeighting0.3_2k_samples_Without_Filter,TDOAPhatWeighting0.2_2k_samples_Without_Filter,TDOAPhatWeighting0.1_2k_samples_Without_Filter,TDOAPhatWeighting0.0_2k_samples_Without_Filter,TDOAPhatWeighting1.0_4k_samples_With_Filter,TDOAPhatWeighting0.9_4k_samples_With_Filter,TDOAPhatWeighting0.8_4k_samples_With_Filter,TDOAPhatWeighting0.7_4k_samples_With_Filter,TDOAPhatWeighting0.6_4k_samples_With_Filter,TDOAPhatWeighting0.5_4k_samples_With_Filter,TDOAPhatWeighting0.4_4k_samples_With_Filter,TDOAPhatWeighting0.3_4k_samples_With_Filter,TDOAPhatWeighting0.2_4k_samples_With_Filter,TDOAPhatWeighting0.1_4k_samples_With_Filter,TDOAPhatWeighting0.0_4k_samples_With_Filter,TDOAPhatWeighting1.0_4k_samples_Without_Filter,TDOAPhatWeighting0.9_4k_samples_Without_Filter,TDOAPhatWeighting0.8_4k_samples_Without_Filter,TDOAPhatWeighting0.7_4k_samples_Without_Filter,TDOAPhatWeighting0.6_4k_samples_Without_Filter,TDOAPhatWeighting0.5_4k_samples_Without_Filter,TDOAPhatWeighting0.4_4k_samples_Without_Filter,TDOAPhatWeighting0.3_4k_samples_Without_Filter,TDOAPhatWeighting0.2_4k_samples_Without_Filter,TDOAPhatWeighting0.1_4k_samples_Without_Filter,TDOAPhatWeighting0.0_4k_samples_Without_Filter,TDOAPhatWeighting1.0_8k_samples_With_Filter,TDOAPhatWeighting0.9_8k_samples_With_Filter,TDOAPhatWeighting0.8_8k_samples_With_Filter,TDOAPhatWeighting0.7_8k_samples_With_Filter,TDOAPhatWeighting0.6_8k_samples_With_Filter,TDOAPhatWeighting0.5_8k_samples_With_Filter,TDOAPhatWeighting0.4_8k_samples_With_Filter,TDOAPhatWeighting0.3_8k_samples_With_Filter,TDOAPhatWeighting0.2_8k_samples_With_Filter,TDOAPhatWeighting0.1_8k_samples_With_Filter,TDOAPhatWeighting0.0_8k_samples_With_Filter,TDOAPhatWeighting1.0_8k_samples_Without_Filter,TDOAPhatWeighting0.9_8k_samples_Without_Filter,TDOAPhatWeighting0.8_8k_samples_Without_Filter,TDOAPhatWeighting0.7_8k_samples_Without_Filter,TDOAPhatWeighting0.6_8k_samples_Without_Filter,TDOAPhatWeighting0.5_8k_samples_Without_Filter,TDOAPhatWeighting0.4_8k_samples_Without_Filter,TDOAPhatWeighting0.3_8k_samples_Without_Filter,TDOAPhatWeighting0.2_8k_samples_Without_Filter,TDOAPhatWeighting0.1_8k_samples_Without_Filter,TDOAPhatWeighting0.0_8k_samples_Without_Filter,ActualTriangulationAngle,ActualTriangulationDistance
"move","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"move","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"turn","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"turn","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"move","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"come","1","None","None","None","None","11;-10;-21","10;-10;-21","10;-10;-21","10;-10;-21","10;-9;-21","10;-9;-21","10;-9;-21","10;-8;-21","10;-8;-21","10;-8;-21","10;-8;-22","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-8;-21","9;-8;-21","9;-8;-21","11;-8;-21","11;-8;-21","10;-10;-21","10;-10;-21","10;-10;-21","10;-10;-21","10;-10;-21","10;-9;-21","10;-9;-21","10;-9;-21","10;-8;-21","10;-8;-21","10;-8;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","9;-10;-21","9;-8;-21","9;-8;-21","9;-8;-21","11;-8;-21","11;-10;-21","10;-10;-21","10;-10;-21","10;-10;-21","10;-10;-21","10;-10;-21","10;-9;-21","10;-9;-21","10;-9;-21","11;-8;-21","11;-8;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-10;-21","11;-8;-21","11;-8;-21","11;-8;-21","11;-8;-21","83","3"
"return","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"return","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"turn","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"come","1","None","None","None","None","112;7;-6","112;7;-6","112;7;-6","113;7;-6","113;13;-6","113;14;-6","114;14;-6","115;14;-6","115;14;-6","115;14;-6","116;13;-6","960;960;-7","960;6;-7","113;6;-7","113;14;-7","113;14;-7","113;14;-7","113;14;-7","115;14;-5","115;14;-5","115;14;-5","15;14;-5","20;13;-7","20;13;-7","20;13;-7","20;13;-7","19;13;-7","19;13;-7","19;13;-7","19;12;-7","18;12;-7","18;12;-7","18;12;-7","19;14;-7","19;14;-7","19;12;-7","19;12;-7","19;12;-7","19;12;-7","19;12;-7","19;12;-7","19;12;-7","17;12;-7","17;12;-7","20;13;-6","20;13;-6","20;13;-6","20;13;-7","20;13;-7","20;13;-7","20;13;-7","20;13;-7","20;13;-7","20;13;-7","20;12;-7","19;14;-7","19;14;-7","19;14;-7","19;14;-7","19;14;-7","19;14;-7","19;14;-7","19;12;-7","19;12;-7","19;12;-7","19;12;-7","5","1"
